* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:59:05 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: Neve 517 0
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
95.137 66.477 0.018 0.014 0.0064 0.013 0.0032 0.0077 0.0021 0.0033 0.0033 0.0057
97.924 66.476 0.018 0.018 0.0083 0.012 0.0033 0.0072 0.0027 0.0028 0.0032 0.0048
100.794 66.476 0.019 0.014 0.0078 0.013 0.0041 0.0060 0.0031 0.0031 0.0048 0.0048
103.747 66.475 0.021 0.015 0.0091 0.015 0.0046 0.0052 0.0039 0.0039 0.0051 0.0032
106.787 66.475 0.019 0.016 0.010 0.011 0.0046 0.0051 0.0045 0.0032 0.0053 0.0021
109.916 66.474 0.016 0.017 0.0073 0.011 0.0044 0.0061 0.0035 0.0035 0.0035 0.0019
113.137 66.474 0.018 0.021 0.0069 0.013 0.0044 0.0079 0.0044 0.0021 0.0042 0.0025
116.452 66.474 0.019 0.018 0.0066 0.013 0.0067 0.0073 0.0046 0.0037 0.0041 0.0029
119.865 66.473 0.018 0.013 0.0078 0.010 0.0084 0.0058 0.0030 0.0040 0.0040 0.0032
123.377 66.472 0.020 0.015 0.013 0.0090 0.0073 0.0065 0.0020 0.0028 0.0045 0.0050
126.992 66.471 0.019 0.016 0.013 0.0081 0.0055 0.0060 0.0033 0.0036 0.0041 0.0039
130.713 66.471 0.018 0.015 0.010 0.0083 0.0045 0.0072 0.0046 0.0037 0.0035 0.0067
134.543 66.470 0.017 0.017 0.0088 0.011 0.0036 0.0046 0.0038 0.0033 0.0045 0.0050
138.486 66.470 0.015 0.014 0.0085 0.0066 0.0028 0.0047 0.0043 0.0036 0.0044 0.0047
142.544 66.470 0.014 0.014 0.0061 0.0078 0.0024 0.0057 0.0054 0.0021 0.0049 0.0039
146.721 66.470 0.014 0.024 0.0062 0.0074 0.0027 0.0050 0.0039 0.0048 0.0041 0.0035
151.020 66.469 0.014 0.026 0.0071 0.0048 0.0046 0.0063 0.0029 0.0062 0.0050 0.0019
155.445 66.469 0.014 0.015 0.0057 0.0059 0.0053 0.0057 0.0017 0.0050 0.0045 0.0039
160.000 66.469 0.013 0.014 0.0051 0.0062 0.0065 0.0027 0.0021 0.0044 0.0048 0.0028
164.688 66.469 0.014 0.011 0.0060 0.0070 0.0062 0.0027 0.0042 0.0032 0.0053 0.0032
169.514 66.468 0.015 0.015 0.0076 0.0076 0.0046 0.0037 0.0049 0.0043 0.0044 0.0029
174.481 66.468 0.014 0.012 0.0087 0.0046 0.0050 0.0063 0.0028 0.0042 0.0031 0.0029
179.594 66.467 0.014 0.012 0.0061 0.0065 0.0059 0.0059 0.0034 0.0031 0.0026 0.0053
184.856 66.468 0.017 0.016 0.0061 0.0083 0.0061 0.0063 0.0055 0.0024 0.0041 0.0070
190.273 66.468 0.014 0.017 0.0066 0.0052 0.0062 0.0027 0.0040 0.0031 0.0039 0.0051
195.849 66.467 0.013 0.018 0.0071 0.0054 0.0056 0.0026 0.0025 0.0032 0.0039 0.0029
201.587 66.467 0.014 0.028 0.0076 0.0071 0.0055 0.0021 0.0022 0.0038 0.0034 0.0035
207.494 66.467 0.015 0.019 0.0066 0.0078 0.0066 0.0045 0.0028 0.0046 0.0033 0.0038
213.574 66.467 0.014 0.012 0.0043 0.0073 0.0051 0.0061 0.0033 0.0054 0.0039 0.0045
219.833 66.466 0.016 0.016 0.0055 0.011 0.0064 0.0052 0.0030 0.0034 0.0047 0.0037
226.274 66.467 0.017 0.021 0.0075 0.0095 0.0059 0.0070 0.0037 0.0038 0.0044 0.0039
232.905 66.467 0.015 0.013 0.0047 0.0075 0.0046 0.0069 0.0036 0.0053 0.0062 0.0038
239.729 66.466 0.015 0.016 0.0060 0.0074 0.0041 0.0045 0.0041 0.0047 0.0060 0.0038
246.754 66.466 0.015 0.016 0.0074 0.0087 0.0061 0.0032 0.0035 0.0035 0.0037 0.0030
253.984 66.466 0.014 0.016 0.0071 0.0082 0.0035 0.0041 0.0032 0.0042 0.0026 0.0027
261.426 66.466 0.011 0.014 0.0046 0.0042 0.0038 0.0041 0.0038 0.0047 0.0019 0.0046
269.087 66.466 0.013 0.014 0.0061 0.0041 0.0053 0.0033 0.0053 0.0042 0.0024 0.0060
276.972 66.467 0.014 0.0095 0.0060 0.0048 0.0067 0.0046 0.0046 0.0045 0.0031 0.0056
285.088 66.466 0.016 0.015 0.0079 0.0062 0.0066 0.0047 0.0049 0.0036 0.0056 0.0041
293.441 66.466 0.015 0.011 0.0078 0.0051 0.0068 0.0033 0.0040 0.0060 0.0044 0.0050
302.040 66.466 0.015 0.018 0.0082 0.0054 0.0063 0.0030 0.0029 0.0050 0.0047 0.0044
310.890 66.466 0.016 0.013 0.0090 0.0062 0.0040 0.0036 0.0033 0.0052 0.0065 0.0051
320.000 66.466 0.014 0.014 0.0067 0.0056 0.0059 0.0039 0.0030 0.0042 0.0055 0.0042
329.377 66.466 0.014 0.018 0.0061 0.0043 0.0065 0.0037 0.0034 0.0050 0.0050 0.0030
339.028 66.466 0.016 0.016 0.0079 0.0063 0.0074 0.0032 0.0044 0.0051 0.0051 0.0019
348.962 66.465 0.016 0.022 0.0065 0.0070 0.0077 0.0036 0.0055 0.0038 0.0056 0.0030
359.188 66.466 0.016 0.014 0.0063 0.0081 0.0065 0.0048 0.0053 0.0036 0.0061 0.0028
369.713 66.466 0.016 0.014 0.0058 0.0085 0.0057 0.0039 0.0073 0.0037 0.0052 0.0042
380.546 66.465 0.016 0.012 0.0072 0.0062 0.0045 0.0041 0.0085 0.0039 0.0032 0.0052
391.697 66.466 0.017 0.016 0.0049 0.0079 0.0039 0.0053 0.0091 0.0049 0.0038 0.0058
403.175 66.466 0.016 0.0070 0.0071 0.0078 0.0044 0.0053 0.0058 0.0049 0.0029 0.0049
414.989 66.466 0.014 0.017 0.0082 0.0061 0.0053 0.0035 0.0038 0.0047 0.0019 0.0046
427.149 66.466 0.015 0.014 0.0095 0.0053 0.0044 0.0035 0.0045 0.0047 0.0033 0.0051
439.665 66.465 0.016 0.015 0.0069 0.0078 0.0039 0.0055 0.0056 0.0045 0.0040 0.0050
452.548 66.465 0.016 0.013 0.0083 0.0068 0.0048 0.0051 0.0058 0.0049 0.0041 0.0045
465.809 66.465 0.017 0.022 0.0095 0.0049 0.0065 0.0045 0.0049 0.0050 0.0050 0.0050
479.458 66.465 0.017 0.011 0.0080 0.0056 0.0060 0.0057 0.0048 0.0060 0.0054 0.0053
493.507 66.465 0.017 0.015 0.0071 0.0059 0.0054 0.0055 0.0060 0.0064 0.0058 0.0050
507.968 66.465 0.019 0.020 0.0079 0.0065 0.0065 0.0057 0.0072 0.0054 0.0060 0.0071
522.853 66.465 0.017 0.021 0.0067 0.0043 0.0082 0.0058 0.0053 0.0051 0.0049 0.0065
538.174 66.465 0.017 0.015 0.0079 0.0046 0.0080 0.0068 0.0041 0.0053 0.0061 0.0047
553.943 66.464 0.016 0.017 0.0066 0.0041 0.0060 0.0058 0.0068 0.0050 0.0066 0.0051
570.175 66.464 0.019 0.0064 0.0096 0.0055 0.0064 0.0053 0.0066 0.0045 0.0076 0.0055
586.883 66.464 0.018 0.017 0.0074 0.0068 0.0072 0.0064 0.0061 0.0056 0.0065 0.0053
604.080 66.464 0.018 0.012 0.0075 0.0076 0.0065 0.0064 0.0053 0.0068 0.0055 0.0057
621.780 66.463 0.018 0.0082 0.0082 0.0065 0.0060 0.0072 0.0048 0.0065 0.0054 0.0048
640.000 66.464 0.018 0.016 0.0068 0.0065 0.0075 0.0063 0.0040 0.0073 0.0049 0.0067
658.753 66.464 0.018 0.016 0.0099 0.0067 0.0055 0.0039 0.0043 0.0064 0.0043 0.0076
678.056 66.463 0.017 0.010 0.0071 0.0077 0.0056 0.0042 0.0049 0.0058 0.0047 0.0076
697.925 66.463 0.019 0.018 0.0096 0.0065 0.0055 0.0065 0.0059 0.0061 0.0054 0.0077
718.376 66.463 0.018 0.011 0.0060 0.0059 0.0048 0.0073 0.0060 0.0062 0.0052 0.0079
739.426 66.463 0.018 0.017 0.0065 0.0072 0.0041 0.0081 0.0067 0.0070 0.0051 0.0067
761.093 66.463 0.018 0.018 0.0061 0.0075 0.0067 0.0072 0.0067 0.0061 0.0046 0.0069
783.394 66.464 0.019 0.017 0.0053 0.0076 0.0071 0.0067 0.0083 0.0072 0.0063 0.0060
806.349 66.463 0.019 0.019 0.0078 0.0071 0.0082 0.0065 0.0058 0.0067 0.0069 0.0050
829.977 66.463 0.019 0.014 0.0088 0.0076 0.0057 0.0061 0.0060 0.0061 0.0070 0.0057
854.297 66.463 0.018 0.013 0.0079 0.0078 0.0052 0.0053 0.0058 0.0064 0.0068 0.0057
879.330 66.463 0.018 0.019 0.0076 0.0065 0.0066 0.0056 0.0055 0.0064 0.0067 0.0065
905.097 66.463 0.019 0.020 0.0078 0.0074 0.0066 0.0065 0.0066 0.0076 0.0067 0.0050
931.618 66.463 0.020 0.022 0.0073 0.0079 0.0075 0.0074 0.0066 0.0080 0.0055 0.0051
958.917 66.463 0.020 0.013 0.0094 0.0070 0.0075 0.0074 0.0068 0.0063 0.0056 0.0066
987.015 66.464 0.022 0.016 0.0084 0.0095 0.0071 0.0086 0.0068 0.0067 0.0069 0.0069
1015.937 66.463 0.021 0.016 0.0084 0.0095 0.0072 0.0083 0.0050 0.0061 0.0071 0.0073
1045.706 66.463 0.020 0.018 0.0089 0.0073 0.0078 0.0067 0.0048 0.0076 0.0070 0.0063
1076.347 66.464 0.021 0.016 0.0085 0.0067 0.0072 0.0067 0.0058 0.0084 0.0074 0.0074
1107.887 66.464 0.022 0.016 0.0085 0.0095 0.0076 0.0068 0.0068 0.0080 0.0066 0.0064
1140.350 66.465 0.023 0.015 0.0094 0.0086 0.0074 0.0058 0.0079 0.0086 0.0088 0.0067
1173.765 66.464 0.021 0.018 0.0082 0.0078 0.0077 0.0069 0.0075 0.0067 0.0076 0.0076
1208.159 66.465 0.022 0.015 0.0094 0.0062 0.0095 0.0085 0.0062 0.0064 0.0071 0.0072
1243.561 66.466 0.022 0.018 0.0084 0.0090 0.0076 0.0082 0.0063 0.0071 0.0078 0.0070
1280.000 66.466 0.023 0.019 0.0074 0.0097 0.0082 0.0068 0.0073 0.0089 0.0081 0.0084
1317.507 66.467 0.024 0.016 0.0074 0.010 0.0085 0.0078 0.0086 0.0081 0.0089 0.0088
1356.113 66.468 0.024 0.018 0.0100 0.0098 0.0090 0.0073 0.0090 0.0070 0.0087 0.0079
1395.850 66.469 0.026 0.023 0.010 0.010 0.011 0.0076 0.0094 0.0083 0.0083 0.0087
1436.751 66.469 0.024 0.021 0.0094 0.0095 0.0095 0.0086 0.0083 0.0071 0.0077 0.0086
1478.851 66.470 0.023 0.022 0.0088 0.0082 0.0088 0.0088 0.0068 0.0077 0.0083 0.0068
1522.185 66.471 0.025 0.019 0.011 0.0090 0.0090 0.0070 0.0074 0.0089 0.0090 0.0076
1566.789 66.471 0.027 0.018 0.0095 0.011 0.0087 0.0087 0.0092 0.0099 0.011 0.0079
1612.699 66.472 0.026 0.023 0.0084 0.0100 0.0076 0.0091 0.0093 0.010 0.011 0.0078
1659.955 66.473 0.027 0.019 0.010 0.011 0.0087 0.0087 0.0084 0.011 0.0086 0.0085
1708.595 66.473 0.026 0.020 0.010 0.011 0.0086 0.0075 0.0072 0.0093 0.0094 0.0085
1758.661 66.474 0.027 0.018 0.012 0.010 0.0087 0.0091 0.0080 0.0089 0.0096 0.0100
1810.193 66.475 0.028 0.022 0.012 0.0097 0.0094 0.0089 0.0078 0.011 0.0098 0.010
1863.236 66.475 0.029 0.023 0.013 0.0096 0.0094 0.010 0.0087 0.011 0.010 0.010
1917.833 66.475 0.029 0.022 0.012 0.0092 0.0089 0.011 0.0087 0.012 0.0098 0.011
1974.030 66.476 0.029 0.022 0.012 0.0096 0.0092 0.0090 0.011 0.011 0.011 0.010
2031.873 66.475 0.029 0.023 0.011 0.0097 0.0090 0.0096 0.011 0.0095 0.012 0.0086
2091.412 66.475 0.028 0.018 0.012 0.0087 0.0095 0.013 0.0094 0.0089 0.0099 0.0079
2152.695 66.475 0.029 0.026 0.013 0.0100 0.010 0.012 0.0098 0.0092 0.010 0.0064
2215.774 66.475 0.030 0.022 0.012 0.012 0.0100 0.012 0.011 0.0098 0.011 0.0050
2280.701 66.475 0.028 0.021 0.013 0.0099 0.0096 0.012 0.011 0.0090 0.010 0.0038
