* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 7:17:45 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: 312 （Pad -20）9格
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
113.137 112.899 10.1 0.0028 6.66 6.51 2.83 2.10 0.307 0.551 1.15 0.789
116.452 112.899 10.1 0.0036 6.67 6.51 2.83 2.10 0.309 0.553 1.15 0.789
119.865 112.900 10.1 0.0020 6.67 6.51 2.83 2.10 0.311 0.555 1.15 0.788
123.377 112.901 10.1 0.0026 6.67 6.52 2.83 2.10 0.313 0.558 1.15 0.787
126.992 112.902 10.1 0.0035 6.67 6.53 2.83 2.10 0.314 0.561 1.15 0.786
130.713 112.903 10.1 0.0038 6.68 6.53 2.83 2.10 0.316 0.564 1.15 0.785
134.543 112.903 10.1 0.0028 6.68 6.54 2.83 2.10 0.319 0.565 1.15 0.786
138.486 112.904 10.1 0.0031 6.68 6.55 2.83 2.09 0.322 0.566 1.15 0.786
142.544 112.905 10.1 0.0031 6.68 6.56 2.83 2.09 0.324 0.568 1.15 0.785
146.721 112.906 10.1 0.010 6.69 6.56 2.83 2.09 0.327 0.570 1.15 0.783
151.020 112.908 10.1 0.014 6.69 6.57 2.83 2.09 0.331 0.571 1.15 0.782
155.445 112.908 10.1 0.0031 6.69 6.57 2.83 2.09 0.333 0.573 1.15 0.782
160.000 112.909 10.1 0.0029 6.70 6.58 2.82 2.09 0.336 0.575 1.16 0.782
164.688 112.910 10.1 0.0031 6.70 6.58 2.83 2.08 0.339 0.576 1.16 0.782
169.514 112.911 10.1 0.0042 6.71 6.58 2.82 2.08 0.341 0.576 1.16 0.782
174.481 112.912 10.2 0.0024 6.71 6.58 2.82 2.08 0.343 0.577 1.16 0.783
179.594 112.912 10.2 0.0022 6.72 6.58 2.82 2.08 0.346 0.579 1.16 0.782
184.856 112.913 10.2 0.0022 6.72 6.58 2.82 2.08 0.347 0.582 1.16 0.782
190.273 112.914 10.2 0.0040 6.72 6.59 2.82 2.08 0.350 0.585 1.16 0.780
195.849 112.915 10.2 0.0041 6.72 6.59 2.82 2.08 0.353 0.588 1.16 0.779
201.587 112.916 10.2 0.0051 6.73 6.60 2.82 2.08 0.356 0.589 1.16 0.779
207.494 112.917 10.2 0.0034 6.73 6.60 2.82 2.08 0.359 0.590 1.16 0.778
213.574 112.917 10.2 0.0031 6.73 6.61 2.82 2.08 0.361 0.592 1.16 0.779
219.833 112.918 10.2 0.0024 6.74 6.62 2.81 2.08 0.363 0.593 1.16 0.778
226.274 112.919 10.2 0.0035 6.74 6.62 2.82 2.08 0.365 0.594 1.16 0.778
232.905 112.919 10.2 0.0039 6.74 6.62 2.82 2.08 0.366 0.593 1.16 0.778
239.729 112.919 10.2 0.0028 6.74 6.61 2.82 2.08 0.367 0.593 1.16 0.778
246.754 112.919 10.2 0.010 6.75 6.61 2.82 2.08 0.367 0.593 1.16 0.778
253.984 112.919 10.2 0.0076 6.75 6.60 2.82 2.08 0.367 0.595 1.16 0.776
261.426 112.919 10.2 0.0030 6.75 6.60 2.82 2.08 0.367 0.596 1.16 0.777
269.087 112.919 10.2 0.0035 6.75 6.60 2.82 2.08 0.367 0.596 1.16 0.777
276.972 112.920 10.2 0.0032 6.75 6.60 2.82 2.08 0.368 0.596 1.16 0.777
285.088 112.920 10.2 0.0044 6.75 6.61 2.82 2.08 0.367 0.596 1.16 0.778
293.441 112.920 10.2 0.0040 6.75 6.62 2.82 2.07 0.367 0.596 1.17 0.779
302.040 112.920 10.2 0.0051 6.75 6.62 2.82 2.07 0.366 0.595 1.17 0.779
310.890 112.920 10.2 0.0038 6.75 6.63 2.82 2.07 0.366 0.597 1.17 0.778
320.000 112.920 10.2 0.0042 6.76 6.62 2.82 2.08 0.367 0.600 1.16 0.777
329.377 112.920 10.2 0.0046 6.76 6.62 2.82 2.08 0.368 0.601 1.16 0.778
339.028 112.921 10.2 0.0030 6.76 6.62 2.82 2.08 0.368 0.600 1.17 0.779
348.962 112.922 10.2 0.020 6.76 6.63 2.82 2.07 0.371 0.600 1.17 0.778
359.188 112.923 10.2 0.0044 6.77 6.64 2.82 2.07 0.376 0.602 1.17 0.776
