* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:55:49 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: Voxbox 40
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
84.757 87.992 0.0085 0.0060 0.0051 0.0043 0.0031 0.0015 0.0018 0.0020 0.0024 0.0019
87.241 87.992 0.0067 0.0083 0.0042 0.0016 0.0027 0.0018 9.3E-4 0.0023 0.0018 0.0021
89.797 87.992 0.0075 0.0051 0.0053 0.0015 0.0015 0.0034 6.1E-4 0.0022 0.0013 0.0023
92.428 87.992 0.0078 0.0051 0.0048 0.0030 6.8E-4 0.0041 7.8E-4 0.0017 0.0013 0.0025
95.137 87.992 0.0061 0.0035 0.0032 0.0025 0.0011 0.0024 0.0012 0.0021 0.0017 0.0022
97.924 87.992 0.0064 0.0041 0.0042 0.0013 0.0018 0.0014 0.0024 0.0016 0.0022 0.0019
100.794 87.992 0.0071 0.0058 0.0051 0.0012 0.0017 0.0013 0.0031 0.0011 0.0017 0.0022
103.747 87.992 0.0069 0.0058 0.0052 0.0015 0.0013 0.0014 0.0027 0.0011 0.0017 0.0018
106.787 87.992 0.0051 0.0064 0.0030 0.0018 0.0018 0.0012 0.0020 0.0014 0.0013 0.0012
109.916 87.991 0.0061 0.0058 0.0034 0.0019 0.0021 0.0016 0.0023 0.0022 0.0015 0.0015
113.137 87.991 0.0068 0.0064 0.0051 0.0015 0.0015 0.0015 0.0015 0.0025 0.0010 0.0016
116.452 87.992 0.0082 0.0067 0.0053 0.0036 0.0036 0.0010 0.0015 0.0019 0.0015 0.0016
119.865 87.991 0.0089 0.0061 0.0051 0.0044 0.0044 8.6E-4 0.0013 0.0018 0.0024 0.0019
123.377 87.991 0.011 0.0070 0.0086 0.0043 0.0030 0.0016 0.0016 0.0024 0.0019 0.0016
126.992 87.991 0.0089 0.0045 0.0064 0.0033 0.0019 0.0026 0.0028 0.0024 0.0014 0.0013
130.713 87.991 0.0077 0.0045 0.0039 0.0036 0.0024 0.0022 0.0028 0.0025 0.0021 0.0015
134.543 87.991 0.0075 0.0058 0.0035 0.0032 0.0018 0.0023 0.0027 0.0029 0.0017 0.0024
138.486 87.991 0.0080 0.0071 0.0046 0.0031 0.0024 0.0029 0.0018 0.0029 0.0019 0.0020
142.544 87.991 0.0081 0.0053 0.0050 0.0030 0.0018 0.0013 0.0025 0.0024 0.0030 0.0021
146.721 87.991 0.0090 0.011 0.0059 0.0030 0.0022 0.0013 0.0028 0.0033 0.0025 0.0022
151.020 87.991 0.010 0.013 0.0047 0.0039 0.0042 0.0026 0.0028 0.0044 0.0028 0.0020
155.445 87.991 0.0084 0.0088 0.0037 0.0032 0.0033 0.0025 0.0020 0.0046 0.0012 0.0016
160.000 87.991 0.0081 0.012 0.0033 0.0026 0.0032 0.0017 0.0038 0.0040 0.0021 0.0010
164.688 87.991 0.0098 0.0055 0.0056 0.0033 0.0024 0.0020 0.0043 0.0037 0.0029 0.0015
169.514 87.991 0.0091 0.0046 0.0050 0.0034 0.0029 0.0017 0.0036 0.0031 0.0028 0.0021
174.481 87.991 0.0097 0.0066 0.0064 0.0023 0.0031 0.0025 0.0027 0.0031 0.0026 0.0028
179.594 87.991 0.0082 0.0070 0.0046 0.0029 0.0027 0.0026 0.0024 0.0022 0.0025 0.0025
184.856 87.991 0.0091 0.0077 0.0053 0.0043 0.0030 0.0026 0.0015 0.0023 0.0031 0.0017
190.273 87.991 0.0086 0.0078 0.0044 0.0034 0.0034 0.0032 0.0021 0.0031 0.0023 0.0013
195.849 87.991 0.0086 0.0068 0.0038 0.0032 0.0035 0.0031 0.0031 0.0030 0.0021 0.0021
201.587 87.991 0.0089 0.0087 0.0048 0.0027 0.0031 0.0020 0.0024 0.0031 0.0026 0.0037
207.494 87.992 0.0081 0.0062 0.0031 0.0022 0.0026 0.0033 0.0019 0.0037 0.0021 0.0034
213.574 87.992 0.0096 0.0069 0.0037 0.0013 0.0017 0.0045 0.0024 0.0045 0.0028 0.0046
219.833 87.991 0.0091 0.0082 0.0044 0.0026 0.0016 0.0038 0.0019 0.0036 0.0029 0.0038
226.274 87.991 0.0093 0.0083 0.0051 0.0027 0.0021 0.0037 0.0023 0.0023 0.0030 0.0039
232.905 87.992 0.0099 0.0052 0.0061 0.0029 0.0034 0.0034 0.0022 0.0030 0.0025 0.0029
239.729 87.991 0.010 0.0071 0.0072 0.0020 0.0032 0.0025 0.0017 0.0036 0.0026 0.0032
246.754 87.991 0.0088 0.012 0.0055 0.0021 0.0021 0.0025 0.0021 0.0029 0.0036 0.0024
253.984 87.992 0.0082 0.014 0.0030 0.0034 0.0026 0.0036 0.0028 0.0020 0.0034 0.0019
261.426 87.991 0.0094 0.0063 0.0037 0.0039 0.0031 0.0038 0.0031 0.0031 0.0032 0.0025
269.087 87.991 0.0091 0.0051 0.0029 0.0037 0.0043 0.0036 0.0028 0.0026 0.0029 0.0027
276.972 87.991 0.0090 0.0043 0.0041 0.0028 0.0049 0.0030 0.0025 0.0023 0.0019 0.0029
285.088 87.991 0.0100 0.0069 0.0058 0.0033 0.0044 0.0020 0.0034 0.0032 0.0024 0.0019
293.441 87.991 0.0092 0.0060 0.0048 0.0032 0.0027 0.0020 0.0043 0.0034 0.0028 0.0016
302.040 87.991 0.0092 0.0066 0.0046 0.0038 0.0017 0.0038 0.0030 0.0037 0.0027 0.0014
310.890 87.991 0.011 0.0096 0.0056 0.0036 0.0031 0.0045 0.0031 0.0040 0.0028 0.0023
320.000 87.991 0.0093 0.0054 0.0045 0.0032 0.0028 0.0029 0.0036 0.0030 0.0026 0.0034
329.377 87.991 0.0093 0.011 0.0029 0.0029 0.0041 0.0021 0.0042 0.0038 0.0027 0.0032
339.028 87.991 0.0090 0.0069 0.0029 0.0043 0.0032 0.0024 0.0025 0.0032 0.0030 0.0034
348.962 87.991 0.0100 0.024 0.0038 0.0036 0.0046 0.0036 0.0023 0.0033 0.0036 0.0031
359.188 87.991 0.011 0.0064 0.0056 0.0033 0.0042 0.0032 0.0024 0.0033 0.0040 0.0037
369.713 87.991 0.011 0.0067 0.0065 0.0029 0.0038 0.0039 0.0025 0.0030 0.0029 0.0030
380.546 87.991 0.0098 0.0097 0.0053 0.0025 0.0037 0.0031 0.0038 0.0032 0.0028 0.0026
391.697 87.991 0.010 0.0062 0.0051 0.0032 0.0043 0.0028 0.0031 0.0036 0.0025 0.0036
403.175 87.992 0.011 0.0082 0.0048 0.0040 0.0054 0.0030 0.0022 0.0039 0.0025 0.0042
414.989 87.992 0.013 0.0064 0.0073 0.0045 0.0060 0.0032 0.0027 0.0042 0.0024 0.0035
427.149 87.992 0.011 0.011 0.0054 0.0048 0.0042 0.0038 0.0028 0.0044 0.0021 0.0038
439.665 87.992 0.0098 0.0064 0.0044 0.0029 0.0027 0.0034 0.0034 0.0036 0.0037 0.0034
452.548 87.992 0.011 0.0086 0.0063 0.0035 0.0033 0.0031 0.0042 0.0035 0.0039 0.0028
465.809 87.992 0.011 0.0056 0.0054 0.0040 0.0047 0.0033 0.0041 0.0031 0.0037 0.0033
479.458 87.991 0.012 0.0094 0.0055 0.0040 0.0053 0.0030 0.0048 0.0032 0.0032 0.0053
493.507 87.991 0.013 0.010 0.0046 0.0050 0.0044 0.0039 0.0048 0.0048 0.0032 0.0045
507.968 87.991 0.012 0.0075 0.0044 0.0048 0.0050 0.0042 0.0023 0.0043 0.0029 0.0042
522.853 87.990 0.011 0.014 0.0058 0.0040 0.0036 0.0035 0.0024 0.0029 0.0029 0.0042
538.174 87.990 0.013 0.012 0.0073 0.0053 0.0039 0.0041 0.0041 0.0029 0.0034 0.0038
553.943 87.989 0.012 0.0090 0.0062 0.0042 0.0044 0.0041 0.0041 0.0026 0.0042 0.0046
570.175 87.989 0.013 0.0072 0.0058 0.0041 0.0059 0.0048 0.0046 0.0038 0.0039 0.0033
586.883 87.989 0.014 0.0063 0.0086 0.0045 0.0056 0.0039 0.0041 0.0046 0.0033 0.0045
604.080 87.989 0.013 0.0097 0.0065 0.0048 0.0048 0.0052 0.0045 0.0047 0.0031 0.0030
621.780 87.988 0.013 0.0085 0.0049 0.0043 0.0046 0.0047 0.0032 0.0055 0.0035 0.0044
640.000 87.988 0.013 0.0092 0.0051 0.0044 0.0049 0.0042 0.0029 0.0054 0.0051 0.0041
658.753 87.987 0.013 0.0086 0.0067 0.0045 0.0047 0.0034 0.0037 0.0061 0.0042 0.0036
678.056 87.987 0.013 0.0085 0.0058 0.0050 0.0047 0.0041 0.0038 0.0044 0.0049 0.0043
697.925 87.986 0.013 0.0094 0.0056 0.0041 0.0052 0.0047 0.0042 0.0051 0.0049 0.0034
718.376 87.985 0.014 0.014 0.0056 0.0052 0.0060 0.0041 0.0044 0.0055 0.0039 0.0037
739.426 87.985 0.015 0.0098 0.0049 0.0061 0.0062 0.0050 0.0046 0.0049 0.0056 0.0033
761.093 87.984 0.015 0.011 0.0057 0.0065 0.0057 0.0047 0.0049 0.0050 0.0066 0.0035
783.394 87.984 0.015 0.012 0.0073 0.0058 0.0056 0.0053 0.0049 0.0050 0.0050 0.0038
806.349 87.984 0.014 0.011 0.0053 0.0049 0.0053 0.0054 0.0042 0.0039 0.0054 0.0048
829.977 87.984 0.015 0.010 0.0071 0.0050 0.0049 0.0048 0.0051 0.0043 0.0051 0.0046
854.297 87.984 0.015 0.0093 0.0073 0.0046 0.0048 0.0055 0.0066 0.0042 0.0045 0.0055
879.330 87.984 0.016 0.0083 0.0081 0.0054 0.0046 0.0066 0.0054 0.0051 0.0055 0.0049
905.097 87.984 0.016 0.013 0.0075 0.0055 0.0055 0.0049 0.0053 0.0048 0.0057 0.0060
931.618 87.984 0.016 0.0065 0.0067 0.0067 0.0059 0.0051 0.0049 0.0038 0.0064 0.0060
958.917 87.983 0.017 0.0098 0.0055 0.0065 0.0051 0.0048 0.0052 0.0051 0.0077 0.0072
987.015 87.983 0.017 0.013 0.0048 0.0066 0.0063 0.0055 0.0057 0.0051 0.0067 0.0067
1015.937 87.983 0.018 0.011 0.0051 0.0077 0.0064 0.0068 0.0059 0.0043 0.0060 0.0069
1045.706 87.982 0.017 0.012 0.0051 0.0070 0.0061 0.0064 0.0071 0.0048 0.0062 0.0050
1076.347 87.982 0.017 0.018 0.0067 0.0061 0.0062 0.0059 0.0069 0.0052 0.0059 0.0041
1107.887 87.981 0.017 0.013 0.0066 0.0059 0.0053 0.0052 0.0069 0.0061 0.0058 0.0050
1140.350 87.981 0.017 0.013 0.0059 0.0062 0.0052 0.0054 0.0075 0.0058 0.0063 0.0057
1173.765 87.980 0.017 0.014 0.0067 0.0058 0.0055 0.0064 0.0064 0.0055 0.0049 0.0068
1208.159 87.980 0.018 0.012 0.0077 0.0061 0.0063 0.0062 0.0061 0.0063 0.0048 0.0061
1243.561 87.979 0.018 0.013 0.0071 0.0074 0.0068 0.0058 0.0064 0.0056 0.0046 0.0057
1280.000 87.980 0.018 0.014 0.0077 0.0061 0.0060 0.0055 0.0071 0.0055 0.0053 0.0073
1317.507 87.981 0.019 0.013 0.0062 0.0075 0.0069 0.0068 0.0067 0.0070 0.0058 0.0061
1356.113 87.981 0.020 0.013 0.0077 0.0074 0.0071 0.0054 0.0071 0.0077 0.0064 0.0061
1395.850 87.982 0.018 0.011 0.0087 0.0060 0.0060 0.0066 0.0068 0.0055 0.0058 0.0064
1436.751 87.982 0.020 0.012 0.0077 0.0067 0.0069 0.0069 0.0075 0.0071 0.0061 0.0064
1478.851 87.982 0.020 0.016 0.0082 0.0069 0.0077 0.0063 0.0070 0.0072 0.0067 0.0063
1522.185 87.982 0.020 0.018 0.0072 0.0069 0.0072 0.0070 0.0067 0.0083 0.0055 0.0061
1566.789 87.981 0.019 0.013 0.0076 0.0065 0.0074 0.0071 0.0057 0.0066 0.0064 0.0075
1612.699 87.980 0.019 0.017 0.0074 0.0077 0.0070 0.0068 0.0054 0.0059 0.0054 0.0087
1659.955 87.979 0.021 0.012 0.0076 0.0082 0.0078 0.0072 0.0068 0.0075 0.0063 0.0080
1708.595 87.979 0.021 0.015 0.0082 0.0059 0.0073 0.0085 0.0081 0.0080 0.0054 0.0076
1758.661 87.980 0.021 0.016 0.0086 0.0073 0.0080 0.0081 0.0076 0.0072 0.0063 0.0070
1810.193 87.981 0.023 0.015 0.0083 0.0087 0.0092 0.0080 0.0075 0.0077 0.0072 0.0073
1863.236 87.981 0.021 0.014 0.0084 0.0080 0.0078 0.0077 0.0073 0.0076 0.0075 0.0063
1917.833 87.981 0.023 0.021 0.0088 0.0089 0.0072 0.0086 0.0077 0.0071 0.0083 0.0084
1974.030 87.980 0.023 0.018 0.0079 0.0092 0.0078 0.0075 0.0083 0.0079 0.0081 0.0075
2031.873 87.979 0.023 0.013 0.0083 0.0073 0.0085 0.0076 0.0085 0.0088 0.0086 0.0068
2091.412 87.977 0.022 0.022 0.0084 0.0083 0.0070 0.0078 0.0073 0.0089 0.0083 0.0060
2152.695 87.976 0.022 0.015 0.0086 0.0087 0.0067 0.0073 0.0087 0.0088 0.0078 0.0058
2215.774 87.976 0.023 0.017 0.0086 0.0090 0.0083 0.0083 0.0075 0.0087 0.0087 0.0046
2280.701 87.977 0.023 0.013 0.0094 0.0099 0.0089 0.0086 0.0090 0.0072 0.0077 0.0030
