* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:52:14 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: SSL 20 Oct 16
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
95.137 91.588 0.053 0.0018 0.051 0.013 0.0025 0.0011 8.2E-4 0.0019 0.0013 0.0011
97.924 91.573 0.052 0.0041 0.050 0.011 0.0021 9.8E-4 0.0013 0.0023 0.0012 8.5E-4
100.794 91.559 0.051 0.0075 0.050 0.011 0.0024 0.0018 0.0014 0.0023 0.0019 7.7E-4
103.747 91.543 0.051 0.0017 0.049 0.012 0.0022 0.0023 0.0011 0.0026 0.0014 0.0017
106.787 91.534 0.048 0.0027 0.046 0.011 0.0027 0.0018 0.0011 0.0022 0.0012 0.0013
109.916 91.535 0.046 0.0017 0.045 0.010 0.0030 0.0019 0.0013 0.0016 9.7E-4 0.0015
113.137 91.542 0.048 0.0020 0.048 0.0075 0.0028 0.0024 0.0017 0.0011 0.0014 0.0019
116.452 91.549 0.049 0.0022 0.049 0.0050 0.0017 0.0020 0.0018 0.0017 0.0018 0.0019
119.865 91.560 0.048 0.0015 0.047 0.0070 0.0022 0.0021 0.0019 0.0017 0.0012 0.0019
123.377 91.578 0.049 0.0016 0.048 0.0082 0.0033 0.0018 0.0023 0.0018 0.0012 0.0020
126.992 91.599 0.048 0.0023 0.047 0.0095 0.0029 0.0014 0.0016 0.0011 0.0011 0.0016
130.713 91.616 0.052 0.0025 0.050 0.0100 0.0024 0.0017 0.0017 8.8E-4 0.0012 0.0014
134.543 91.624 0.051 0.0022 0.050 0.0098 0.0017 0.0014 0.0011 0.0013 0.0011 0.0017
138.486 91.627 0.049 0.0021 0.047 0.011 0.0025 0.0014 9.1E-4 0.0012 0.0020 0.0012
142.544 91.629 0.049 0.0032 0.048 0.011 0.0021 0.0018 0.0010 0.0010 0.0022 0.0012
146.721 91.630 0.049 0.0085 0.047 0.011 0.0020 0.0018 0.0017 0.0015 0.0024 0.0015
151.020 91.632 0.049 0.011 0.048 0.011 0.0019 0.0017 0.0018 0.0013 0.0016 0.0016
155.445 91.635 0.050 0.0037 0.049 0.011 0.0016 9.9E-4 0.0012 0.0014 0.0013 0.0010
160.000 91.641 0.049 0.0025 0.048 0.010 0.0015 0.0015 0.0015 0.0015 0.0019 8.5E-4
164.688 91.643 0.049 0.0027 0.048 0.011 0.0017 0.0013 0.0014 8.6E-4 0.0012 8.5E-4
169.514 91.641 0.050 0.0026 0.049 0.011 0.0013 0.0010 0.0014 0.0010 0.0012 0.0010
174.481 91.633 0.050 0.0017 0.048 0.011 0.0023 9.2E-4 0.0017 0.0015 0.0011 0.0015
179.594 91.626 0.050 0.0023 0.048 0.012 0.0028 6.9E-4 0.0019 0.0019 0.0016 0.0012
184.856 91.619 0.051 0.0026 0.050 0.012 0.0024 0.0014 0.0022 0.0015 0.0016 0.0014
190.273 91.616 0.053 0.0036 0.051 0.011 0.0020 0.0022 0.0022 0.0016 0.0019 0.0017
195.849 91.615 0.052 0.0039 0.051 0.011 0.0016 0.0013 0.0017 0.0012 0.0019 0.0019
201.587 91.606 0.051 0.0044 0.049 0.011 0.0022 0.0011 0.0017 0.0012 0.0016 0.0015
207.494 91.596 0.049 0.0032 0.047 0.010 0.0022 0.0015 0.0015 0.0014 0.0013 0.0012
213.574 91.590 0.048 0.0031 0.047 0.011 0.0024 0.0019 0.0015 0.0020 0.0016 0.0014
219.833 91.591 0.050 0.0018 0.049 0.012 0.0015 0.0016 0.0017 0.0016 0.0015 0.0014
226.274 91.602 0.050 0.0031 0.048 0.012 0.0014 0.0021 0.0010 0.0011 0.0021 0.0013
232.905 91.615 0.047 0.0030 0.045 0.011 0.0019 0.0027 0.0014 0.0014 0.0018 0.0013
239.729 91.609 0.048 0.0024 0.047 0.010 0.0019 0.0023 0.0013 0.0014 0.0011 0.0011
246.754 91.586 0.048 0.015 0.046 0.010 0.0027 0.0015 0.0013 0.0014 0.0012 0.0012
253.984 91.565 0.049 0.0098 0.048 0.0092 0.0025 0.0012 0.0014 0.0021 0.0013 0.0013
261.426 91.554 0.051 0.0033 0.049 0.011 0.0022 0.0012 0.0017 0.0025 0.0011 0.0018
