* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 7:35:45 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: B1D 9
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
20.000 105.201 0.282 0.0091 0.098 0.256 0.0098 0.057 0.0026 0.023 6.4E-4 0.011
20.586 105.208 0.275 0.0068 0.100 0.249 0.0100 0.055 0.0022 0.023 8.7E-4 0.011
21.189 105.214 0.269 0.0068 0.100 0.242 0.0096 0.054 0.0019 0.023 0.0010 0.011
21.810 105.221 0.262 0.0068 0.100 0.234 0.0086 0.054 0.0019 0.022 0.0012 0.011
22.449 105.227 0.255 0.0068 0.098 0.228 0.0070 0.055 0.0024 0.021 0.0014 0.011
23.107 105.233 0.249 0.0062 0.094 0.222 0.0063 0.055 0.0031 0.020 0.0017 0.010
23.784 105.238 0.241 0.0062 0.085 0.217 0.0065 0.054 0.0034 0.020 0.0021 0.0096
24.481 105.244 0.235 0.0062 0.083 0.212 0.0066 0.053 0.0033 0.019 0.0024 0.0088
25.198 105.249 0.233 0.0062 0.090 0.208 0.0063 0.052 0.0029 0.019 0.0024 0.0078
25.937 105.254 0.231 0.0078 0.096 0.203 0.0052 0.050 0.0021 0.019 0.0024 0.0066
26.697 105.259 0.229 0.0078 0.100 0.199 0.0035 0.049 0.0015 0.019 0.0021 0.0060
27.479 105.263 0.225 0.0078 0.100 0.195 0.0019 0.047 0.0013 0.018 0.0018 0.0061
28.284 105.268 0.220 0.0090 0.098 0.191 0.0012 0.046 0.0015 0.017 0.0015 0.0066
29.113 105.272 0.216 0.0090 0.096 0.187 0.0015 0.046 0.0017 0.017 0.0011 0.0069
29.966 105.276 0.211 0.0089 0.093 0.182 0.0018 0.045 0.0022 0.016 7.9E-4 0.0064
