* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 7:35:23 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: B1D 10
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
95.137 106.830 0.105 0.0068 0.078 0.069 0.0024 0.011 0.0019 0.0022 0.0014 8.7E-4
97.924 106.832 0.103 0.014 0.077 0.067 0.0018 0.011 0.0019 0.0021 0.0015 6.0E-4
100.794 106.833 0.102 0.022 0.077 0.066 0.0015 0.012 1.0E-3 0.0022 0.0027 8.3E-4
103.747 106.835 0.101 0.0061 0.076 0.065 0.0016 0.011 0.0013 0.0026 0.0023 9.3E-4
106.787 106.837 0.100 0.0067 0.077 0.063 0.0013 0.011 0.0016 0.0035 0.0022 0.0015
109.916 106.838 0.100 0.0086 0.078 0.061 0.0013 0.0096 0.0016 0.0034 0.0018 0.0017
113.137 106.840 0.099 0.010 0.077 0.060 0.0025 0.0081 0.0016 0.0035 0.0019 0.0015
116.452 106.842 0.098 0.0083 0.077 0.061 0.0023 0.0088 0.0023 0.0034 0.0023 0.0020
119.865 106.844 0.096 0.010 0.074 0.061 0.0021 0.0097 0.0031 0.0027 0.0020 0.0015
123.377 106.845 0.093 0.0071 0.070 0.059 0.0026 0.0097 0.0031 0.0024 0.0013 9.1E-4
126.992 106.847 0.092 0.0079 0.071 0.058 0.0023 0.0090 0.0029 0.0023 8.1E-4 0.0012
130.713 106.849 0.093 0.0079 0.074 0.056 0.0021 0.0095 0.0020 0.0012 7.4E-4 0.0010
134.543 106.850 0.093 0.0065 0.075 0.055 0.0026 0.0081 0.0020 5.9E-4 7.0E-4 0.0012
138.486 106.852 0.092 0.010 0.075 0.053 0.0025 0.0076 0.0015 7.5E-4 0.0012 0.0022
142.544 106.854 0.090 0.011 0.075 0.050 0.0018 0.0069 0.0019 0.0011 0.0015 0.0021
146.721 106.856 0.090 0.0090 0.076 0.048 0.0028 0.0065 0.0017 0.0019 0.0016 0.0024
151.020 106.858 0.090 0.012 0.076 0.047 0.0027 0.0075 0.0016 0.0022 0.0023 0.0018
155.445 106.859 0.088 0.0094 0.075 0.046 0.0031 0.0060 0.0013 0.0026 0.0025 0.0017
160.000 106.860 0.088 0.0077 0.075 0.044 0.0036 0.0059 0.0013 0.0022 0.0019 0.0018
164.688 106.862 0.087 0.0067 0.075 0.044 0.0033 0.0066 0.0014 0.0022 0.0018 1.0E-3
169.514 106.864 0.088 0.0084 0.076 0.043 0.0027 0.0072 0.0013 0.0021 0.0019 0.0019
174.481 106.866 0.090 0.013 0.079 0.042 0.0023 0.0071 0.0013 0.0028 0.0027 0.0027
179.594 106.868 0.088 0.0083 0.078 0.040 0.0013 0.0060 8.0E-4 0.0022 0.0021 0.0027
184.856 106.870 0.085 0.0077 0.077 0.037 0.0017 0.0044 0.0010 0.0017 0.0021 0.0018
190.273 106.871 0.084 0.0060 0.076 0.036 0.0016 0.0048 0.0019 0.0023 0.0018 0.0024
195.849 106.873 0.084 0.0057 0.076 0.036 0.0020 0.0049 0.0017 0.0021 0.0025 0.0021
201.587 106.874 0.084 0.0042 0.076 0.035 0.0016 0.0037 0.0017 0.0013 0.0029 0.0027
207.494 106.876 0.083 0.0065 0.075 0.036 0.0017 0.0041 9.7E-4 0.0016 0.0016 0.0028
213.574 106.877 0.082 0.011 0.075 0.034 0.0027 0.0042 0.0017 0.0023 0.0014 0.0024
219.833 106.878 0.081 0.0065 0.074 0.034 0.0025 0.0016 0.0019 0.0024 0.0014 0.0021
226.274 106.879 0.083 0.0057 0.076 0.034 0.0022 0.0021 0.0022 0.0030 0.0016 0.0016
232.905 106.880 0.083 0.0075 0.077 0.033 0.0017 0.0040 0.0016 0.0036 0.0017 0.0016
239.729 106.881 0.081 0.0060 0.075 0.030 0.0027 0.0050 0.0017 0.0033 0.0019 0.0019
246.754 106.881 0.081 0.0081 0.074 0.030 0.0035 0.0053 0.0017 0.0021 0.0020 0.0018
253.984 106.882 0.081 0.011 0.075 0.030 0.0018 0.0042 0.0021 0.0022 0.0027 0.0021
261.426 106.883 0.081 0.0089 0.075 0.029 0.0016 0.0042 0.0031 0.0025 0.0024 0.0018
269.087 106.883 0.081 0.0051 0.075 0.030 0.0023 0.0033 0.0027 0.0022 0.0025 0.0023
276.972 106.883 0.079 0.0048 0.074 0.028 0.0021 0.0032 0.0021 0.0028 0.0022 0.0019
285.088 106.883 0.078 0.0056 0.073 0.028 0.0027 0.0035 0.0020 0.0028 0.0019 0.0015
293.441 106.883 0.077 0.0068 0.072 0.027 0.0034 0.0037 0.0025 0.0020 0.0018 0.0018
302.040 106.883 0.077 0.0085 0.073 0.025 0.0026 0.0029 0.0020 0.0029 0.0023 0.0019
310.890 106.883 0.078 0.0061 0.074 0.025 0.0026 0.0028 0.0027 0.0033 0.0021 0.0022
320.000 106.884 0.079 0.0062 0.074 0.025 0.0028 0.0044 0.0030 0.0022 0.0031 0.0029
329.377 106.884 0.077 0.0049 0.073 0.026 0.0030 0.0033 0.0023 0.0017 0.0022 0.0023
339.028 106.885 0.076 0.0072 0.071 0.025 0.0028 0.0043 0.0025 0.0018 0.0019 0.0022
348.962 106.887 0.075 0.017 0.071 0.024 0.0023 0.0040 0.0023 0.0018 0.0025 0.0021
359.188 106.888 0.076 0.0049 0.072 0.024 0.0022 0.0032 0.0022 0.0030 0.0025 0.0021
369.713 106.890 0.077 0.0050 0.072 0.024 0.0024 0.0036 0.0021 0.0036 0.0018 0.0017
380.546 106.892 0.074 0.0059 0.070 0.023 0.0025 0.0042 0.0022 0.0033 0.0022 0.0020
391.697 106.895 0.075 0.0086 0.071 0.023 0.0029 0.0025 0.0033 0.0025 0.0036 0.0021
403.175 106.897 0.076 0.0049 0.072 0.023 0.0026 0.0027 0.0026 0.0032 0.0031 0.0020
414.989 106.900 0.076 0.0046 0.073 0.022 0.0021 0.0035 0.0029 0.0029 0.0019 0.0023
427.149 106.902 0.078 0.0060 0.075 0.021 0.0029 0.0044 0.0027 0.0032 0.0020 0.0024
