* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:56:13 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: Voxbox 45
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
82.344 92.684 0.0082 0.0034 0.0054 0.0046 0.0012 0.0014 0.0020 0.0015 0.0024 0.0013
84.757 92.684 0.0083 0.0034 0.0051 0.0052 0.0017 8.4E-4 0.0015 0.0017 0.0021 0.0015
87.241 92.684 0.0089 0.0041 0.0067 0.0040 0.0027 9.8E-4 0.0014 0.0021 0.0018 0.0010
89.797 92.684 0.0088 0.0049 0.0070 0.0033 0.0015 6.1E-4 0.0021 0.0028 0.0015 6.5E-4
92.428 92.684 0.0082 0.0048 0.0065 0.0025 0.0012 0.0012 0.0022 0.0030 0.0012 5.0E-4
95.137 92.684 0.0085 0.0042 0.0069 0.0022 0.0019 0.0013 0.0013 0.0030 0.0016 0.0011
97.924 92.684 0.0091 0.0049 0.0070 0.0034 0.0019 9.9E-4 0.0011 0.0034 0.0014 0.0015
100.794 92.684 0.0079 0.0074 0.0056 0.0031 0.0024 0.0012 6.3E-4 0.0034 0.0011 0.0013
103.747 92.684 0.0073 0.0045 0.0050 0.0021 0.0019 0.0023 0.0010 0.0030 0.0018 8.1E-4
106.787 92.683 0.0069 0.0038 0.0053 0.0013 0.0014 0.0016 0.0019 0.0024 0.0019 0.0012
109.916 92.683 0.0073 0.0036 0.0054 0.0014 0.0020 0.0015 0.0029 0.0016 0.0016 0.0016
113.137 92.683 0.0079 0.0043 0.0062 0.0028 0.0017 0.0013 0.0024 0.0010 0.0016 0.0014
116.452 92.684 0.0076 0.0076 0.0052 0.0041 0.0016 0.0016 0.0017 0.0013 0.0014 0.0016
119.865 92.684 0.0072 0.0059 0.0050 0.0027 0.0012 0.0018 0.0017 0.0016 0.0013 0.0028
123.377 92.684 0.0081 0.0045 0.0058 0.0026 7.9E-4 0.0020 0.0012 0.0023 0.0032 0.0021
126.992 92.684 0.0087 0.0036 0.0067 0.0019 7.4E-4 0.0015 0.0014 0.0022 0.0037 0.0020
130.713 92.684 0.0083 0.0036 0.0060 0.0018 0.0011 0.0025 0.0012 0.0010 0.0024 0.0036
134.543 92.684 0.0091 0.0054 0.0068 0.0023 0.0016 0.0035 0.0012 8.3E-4 0.0017 0.0034
138.486 92.684 0.0073 0.0063 0.0057 0.0023 0.0018 0.0021 0.0013 0.0013 0.0015 0.0016
142.544 92.684 0.0053 0.0036 0.0033 0.0014 0.0021 0.0016 0.0013 0.0016 0.0011 0.0017
146.721 92.684 0.0059 0.0073 0.0045 9.8E-4 0.0015 0.0015 0.0015 0.0018 7.9E-4 0.0019
151.020 92.684 0.0062 0.011 0.0046 0.0017 0.0012 0.0016 0.0019 0.0019 9.4E-4 0.0015
155.445 92.684 0.0059 0.0046 0.0039 0.0021 0.0015 0.0019 0.0014 0.0019 0.0014 0.0014
160.000 92.685 0.0068 0.0054 0.0045 0.0022 0.0024 0.0015 0.0012 0.0019 0.0014 0.0026
164.688 92.685 0.0073 0.0043 0.0037 0.0027 0.0029 0.0013 0.0014 0.0028 0.0023 0.0026
169.514 92.685 0.0088 0.0051 0.0052 0.0036 0.0034 0.0017 0.0017 0.0027 0.0029 0.0021
174.481 92.685 0.0096 0.0043 0.0078 0.0024 0.0030 0.0020 0.0015 0.0022 0.0019 0.0013
179.594 92.685 0.0085 0.0049 0.0066 0.0016 0.0023 0.0013 0.0022 0.0023 0.0023 0.0015
184.856 92.685 0.0078 0.0072 0.0054 0.0023 0.0018 0.0015 0.0020 0.0021 0.0028 0.0020
190.273 92.685 0.0077 0.0053 0.0048 0.0021 0.0022 0.0022 0.0015 0.0030 0.0021 0.0024
195.849 92.685 0.0072 0.0088 0.0045 0.0016 0.0027 0.0026 0.0020 0.0019 0.0018 0.0021
201.587 92.686 0.0069 0.0084 0.0033 0.0026 0.0021 0.0028 0.0014 0.0021 9.5E-4 0.0030
207.494 92.686 0.0079 0.0059 0.0043 0.0028 0.0018 0.0025 0.0019 0.0031 0.0011 0.0034
213.574 92.686 0.0079 0.0081 0.0050 0.0029 0.0013 0.0017 0.0025 0.0023 0.0017 0.0032
219.833 92.686 0.0082 0.0054 0.0064 0.0024 0.0015 0.0021 0.0024 9.7E-4 0.0017 0.0019
226.274 92.686 0.0083 0.0048 0.0070 0.0018 0.0013 0.0026 0.0021 7.3E-4 0.0010 0.0014
232.905 92.686 0.0068 0.0041 0.0037 0.0019 0.0025 0.0031 0.0023 0.0017 0.0015 0.0015
239.729 92.686 0.0064 0.0063 0.0026 0.0023 0.0025 0.0017 0.0022 0.0025 0.0014 0.0028
246.754 92.686 0.0079 0.011 0.0047 0.0035 0.0028 0.0021 0.0017 0.0024 0.0022 0.0017
253.984 92.686 0.0086 0.0089 0.0063 0.0030 0.0029 0.0019 0.0018 0.0016 0.0019 0.0018
261.426 92.686 0.0091 0.0047 0.0065 0.0026 0.0032 0.0024 0.0016 0.0019 0.0018 0.0028
269.087 92.686 0.0090 0.0038 0.0065 0.0026 0.0031 0.0021 0.0015 0.0022 0.0019 0.0028
276.972 92.685 0.0083 0.0051 0.0057 0.0018 0.0032 0.0026 0.0017 0.0021 0.0016 0.0027
285.088 92.685 0.0084 0.0060 0.0057 0.0021 0.0029 0.0020 0.0023 0.0029 0.0020 0.0020
293.441 92.685 0.0084 0.0069 0.0056 0.0021 0.0030 0.0021 0.0024 0.0027 0.0024 0.0019
302.040 92.685 0.0078 0.0066 0.0052 0.0025 0.0025 0.0018 0.0018 0.0022 0.0019 0.0024
310.890 92.685 0.0089 0.0076 0.0061 0.0021 0.0029 0.0021 0.0021 0.0024 0.0023 0.0031
320.000 92.685 0.0082 0.0065 0.0045 0.0022 0.0019 0.0018 0.0023 0.0025 0.0033 0.0036
329.377 92.685 0.0084 0.0048 0.0051 0.0024 0.0022 0.0021 0.0025 0.0019 0.0023 0.0038
339.028 92.684 0.0086 0.0059 0.0056 0.0032 0.0025 0.0021 0.0023 0.0024 0.0021 0.0024
348.962 92.685 0.0091 0.018 0.0067 0.0026 0.0027 0.0025 0.0016 0.0012 0.0022 0.0030
359.188 92.685 0.0091 0.0051 0.0063 0.0024 0.0031 0.0025 0.0017 0.0016 0.0021 0.0034
369.713 92.685 0.0082 0.0065 0.0045 0.0026 0.0033 0.0026 0.0020 0.0035 0.0018 0.0020
380.546 92.685 0.0082 0.0054 0.0035 0.0026 0.0032 0.0026 0.0035 0.0037 0.0011 0.0020
391.697 92.685 0.0092 0.0044 0.0048 0.0035 0.0026 0.0027 0.0036 0.0038 0.0017 0.0023
403.175 92.685 0.0093 0.0066 0.0052 0.0037 0.0030 0.0024 0.0023 0.0027 0.0026 0.0035
414.989 92.686 0.0092 0.0050 0.0052 0.0032 0.0030 0.0023 0.0026 0.0028 0.0029 0.0030
427.149 92.686 0.0096 0.0040 0.0059 0.0028 0.0029 0.0021 0.0030 0.0031 0.0037 0.0022
439.665 92.686 0.0097 0.0066 0.0057 0.0033 0.0015 0.0024 0.0034 0.0038 0.0035 0.0022
452.548 92.686 0.0081 0.0068 0.0040 0.0027 0.0023 0.0018 0.0038 0.0031 0.0027 0.0016
465.809 92.686 0.0081 0.0061 0.0030 0.0027 0.0023 0.0031 0.0032 0.0032 0.0026 0.0028
479.458 92.686 0.0087 0.0044 0.0031 0.0029 0.0029 0.0038 0.0027 0.0036 0.0028 0.0026
493.507 92.685 0.0094 0.0075 0.0039 0.0028 0.0034 0.0033 0.0028 0.0046 0.0029 0.0025
507.968 92.685 0.0091 0.0090 0.0038 0.0033 0.0034 0.0022 0.0029 0.0028 0.0041 0.0029
522.853 92.685 0.0085 0.0061 0.0028 0.0036 0.0032 0.0022 0.0030 0.0028 0.0032 0.0031
538.174 92.684 0.0090 0.0074 0.0026 0.0036 0.0029 0.0032 0.0036 0.0041 0.0022 0.0028
553.943 92.684 0.011 0.0050 0.0049 0.0036 0.0041 0.0040 0.0038 0.0041 0.0024 0.0037
570.175 92.683 0.011 0.0051 0.0066 0.0034 0.0031 0.0034 0.0038 0.0028 0.0035 0.0032
586.883 92.683 0.010 0.0087 0.0053 0.0032 0.0029 0.0027 0.0034 0.0032 0.0036 0.0036
604.080 92.683 0.010 0.0057 0.0049 0.0039 0.0028 0.0037 0.0033 0.0028 0.0036 0.0037
621.780 92.682 0.011 0.0057 0.0049 0.0034 0.0037 0.0045 0.0036 0.0032 0.0043 0.0033
640.000 92.682 0.011 0.0058 0.0051 0.0028 0.0041 0.0044 0.0025 0.0039 0.0039 0.0033
658.753 92.682 0.010 0.0066 0.0041 0.0029 0.0036 0.0036 0.0028 0.0042 0.0042 0.0031
678.056 92.681 0.011 0.0083 0.0047 0.0040 0.0028 0.0038 0.0034 0.0049 0.0043 0.0034
697.925 92.680 0.011 0.0057 0.0051 0.0039 0.0026 0.0037 0.0031 0.0042 0.0037 0.0037
718.376 92.679 0.011 0.0074 0.0053 0.0051 0.0021 0.0031 0.0033 0.0037 0.0037 0.0031
739.426 92.678 0.011 0.0067 0.0053 0.0043 0.0036 0.0043 0.0033 0.0033 0.0036 0.0036
761.093 92.678 0.012 0.0099 0.0049 0.0039 0.0043 0.0045 0.0041 0.0037 0.0043 0.0043
783.394 92.677 0.012 0.0072 0.0045 0.0040 0.0043 0.0038 0.0043 0.0033 0.0043 0.0040
806.349 92.677 0.012 0.0082 0.0063 0.0049 0.0039 0.0040 0.0032 0.0034 0.0038 0.0034
829.977 92.677 0.012 0.0057 0.0065 0.0048 0.0038 0.0034 0.0040 0.0039 0.0037 0.0036
854.297 92.677 0.012 0.0091 0.0059 0.0047 0.0032 0.0041 0.0035 0.0037 0.0037 0.0048
879.330 92.678 0.012 0.0072 0.0051 0.0038 0.0044 0.0042 0.0030 0.0040 0.0040 0.0042
905.097 92.678 0.012 0.015 0.0046 0.0042 0.0046 0.0039 0.0032 0.0049 0.0045 0.0041
931.618 92.678 0.013 0.0066 0.0056 0.0039 0.0047 0.0038 0.0034 0.0049 0.0038 0.0052
958.917 92.678 0.012 0.0083 0.0049 0.0043 0.0036 0.0056 0.0035 0.0043 0.0034 0.0041
987.015 92.677 0.013 0.010 0.0042 0.0055 0.0030 0.0047 0.0046 0.0048 0.0045 0.0042
1015.937 92.676 0.013 0.010 0.0052 0.0058 0.0036 0.0040 0.0045 0.0049 0.0045 0.0041
1045.706 92.676 0.014 0.0095 0.0050 0.0049 0.0036 0.0044 0.0054 0.0057 0.0048 0.0044
1076.347 92.675 0.014 0.0092 0.0056 0.0056 0.0049 0.0040 0.0048 0.0052 0.0041 0.0045
1107.887 92.675 0.014 0.0094 0.0060 0.0048 0.0051 0.0046 0.0048 0.0045 0.0037 0.0045
1140.350 92.674 0.014 0.011 0.0060 0.0050 0.0047 0.0051 0.0045 0.0046 0.0037 0.0051
1173.765 92.673 0.014 0.0084 0.0063 0.0050 0.0043 0.0048 0.0042 0.0047 0.0048 0.0050
1208.159 92.672 0.014 0.0075 0.0067 0.0051 0.0057 0.0045 0.0042 0.0053 0.0043 0.0040
1243.561 92.671 0.014 0.0078 0.0053 0.0054 0.0047 0.0040 0.0049 0.0044 0.0050 0.0053
1280.000 92.672 0.014 0.0070 0.0064 0.0055 0.0036 0.0042 0.0049 0.0044 0.0052 0.0052
1317.507 92.673 0.015 0.011 0.0049 0.0062 0.0041 0.0052 0.0048 0.0060 0.0042 0.0059
1356.113 92.674 0.016 0.0079 0.0059 0.0080 0.0043 0.0057 0.0050 0.0061 0.0038 0.0056
1395.850 92.675 0.016 0.0090 0.0061 0.0065 0.0051 0.0058 0.0048 0.0064 0.0048 0.0047
1436.751 92.675 0.015 0.0091 0.0052 0.0057 0.0050 0.0052 0.0046 0.0059 0.0055 0.0045
1478.851 92.675 0.015 0.012 0.0054 0.0072 0.0050 0.0044 0.0050 0.0056 0.0044 0.0044
1522.185 92.675 0.014 0.012 0.0048 0.0058 0.0045 0.0049 0.0050 0.0060 0.0054 0.0043
1566.789 92.674 0.015 0.0074 0.0043 0.0057 0.0046 0.0048 0.0055 0.0058 0.0053 0.0055
1612.699 92.672 0.016 0.011 0.0049 0.0057 0.0050 0.0053 0.0060 0.0058 0.0054 0.0057
1659.955 92.671 0.016 0.013 0.0062 0.0056 0.0058 0.0058 0.0056 0.0047 0.0055 0.0053
1708.595 92.670 0.018 0.012 0.0055 0.0064 0.0063 0.0062 0.0066 0.0057 0.0062 0.0070
1758.661 92.672 0.018 0.0096 0.0059 0.0062 0.0067 0.0061 0.0060 0.0060 0.0064 0.0068
1810.193 92.674 0.018 0.0088 0.0072 0.0063 0.0062 0.0074 0.0057 0.0053 0.0059 0.0069
1863.236 92.675 0.019 0.016 0.0075 0.0077 0.0075 0.0064 0.0053 0.0055 0.0054 0.0071
1917.833 92.674 0.017 0.014 0.0074 0.0072 0.0056 0.0057 0.0060 0.0054 0.0059 0.0058
1974.030 92.673 0.018 0.012 0.0076 0.0074 0.0056 0.0058 0.0052 0.0058 0.0064 0.0057
2031.873 92.671 0.018 0.010 0.0083 0.0075 0.0061 0.0052 0.0047 0.0064 0.0060 0.0054
2091.412 92.668 0.018 0.015 0.0080 0.0072 0.0062 0.0063 0.0063 0.0069 0.0056 0.0051
2152.695 92.666 0.019 0.014 0.0082 0.0075 0.0059 0.0062 0.0069 0.0068 0.0059 0.0055
2215.774 92.667 0.018 0.011 0.0069 0.0083 0.0061 0.0056 0.0065 0.0066 0.0052 0.0038
2280.701 92.669 0.019 0.013 0.0072 0.0088 0.0075 0.0069 0.0068 0.0068 0.0051 0.0027
