* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:57:20 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: Voxbox 60
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
20.000 107.536 0.994 0.0026 0.494 0.332 0.685 0.275 0.131 0.198 0.167 0.063
20.586 107.520 0.804 0.0032 0.431 0.218 0.560 0.210 0.108 0.154 0.128 0.050
21.189 107.496 0.650 0.0033 0.376 0.145 0.452 0.154 0.090 0.116 0.097 0.040
21.810 107.484 0.518 0.0033 0.320 0.094 0.357 0.107 0.076 0.083 0.071 0.032
22.449 107.482 0.404 0.0033 0.260 0.057 0.276 0.071 0.066 0.055 0.049 0.026
23.107 107.492 0.339 0.0038 0.252 0.031 0.205 0.041 0.059 0.038 0.033 0.021
23.784 107.516 0.353 0.0038 0.314 0.023 0.145 0.019 0.053 0.027 0.020 0.017
24.481 107.544 0.408 0.0038 0.392 0.033 0.094 0.0050 0.050 0.022 0.014 0.015
25.198 107.574 0.483 0.0038 0.469 0.083 0.054 0.0060 0.045 0.022 0.013 0.013
25.937 107.600 0.568 0.0027 0.540 0.158 0.050 0.020 0.039 0.026 0.013 0.012
26.697 107.620 0.643 0.0027 0.593 0.227 0.079 0.039 0.032 0.025 0.012 0.0089
27.479 107.634 0.682 0.0027 0.620 0.261 0.093 0.057 0.020 0.022 0.013 0.0060
28.284 107.641 0.676 0.0033 0.615 0.257 0.090 0.064 0.011 0.018 0.015 0.0039
29.113 107.642 0.628 0.0033 0.578 0.228 0.073 0.055 0.0085 0.015 0.015 0.0033
29.966 107.636 0.558 0.0034 0.519 0.191 0.056 0.039 0.0097 0.013 0.013 0.0033
30.844 107.624 0.477 0.0034 0.448 0.157 0.043 0.024 0.010 0.010 0.0093 0.0024
31.748 107.605 0.397 0.0030 0.374 0.128 0.034 0.014 0.0099 0.0069 0.0057 0.0018
32.678 107.583 0.323 0.0030 0.303 0.106 0.028 0.0079 0.0096 0.0048 0.0035 0.0015
33.636 107.560 0.257 0.0030 0.240 0.088 0.023 0.0059 0.0094 0.0039 0.0024 0.0015
34.621 107.542 0.201 0.0037 0.186 0.072 0.018 0.0066 0.0092 0.0048 0.0026 0.0014
35.636 107.529 0.157 0.0037 0.144 0.059 0.015 0.0071 0.0088 0.0063 0.0030 0.0014
36.680 107.522 0.122 0.0042 0.111 0.047 0.011 0.0074 0.0072 0.0063 0.0033 0.0015
37.755 107.521 0.096 0.0042 0.087 0.037 0.0086 0.0068 0.0054 0.0052 0.0032 0.0018
38.861 107.523 0.078 0.0042 0.071 0.030 0.0053 0.0059 0.0043 0.0037 0.0026 0.0018
40.000 107.526 0.067 0.0044 0.062 0.025 0.0039 0.0047 0.0040 0.0023 0.0021 0.0015
41.172 107.529 0.063 0.0044 0.059 0.023 0.0039 0.0036 0.0043 0.0011 0.0020 8.8E-4
42.379 107.532 0.063 0.0040 0.058 0.023 0.0038 0.0027 0.0031 0.0013 0.0021 6.4E-4
43.620 107.534 0.065 0.0040 0.060 0.025 0.0032 0.0022 0.0024 0.0022 0.0021 8.2E-4
44.898 107.535 0.069 0.0079 0.063 0.026 0.0026 0.0027 0.0022 0.0030 0.0019 0.0012
46.214 107.536 0.072 0.0079 0.067 0.026 0.0025 0.0027 0.0023 0.0028 0.0016 0.0015
47.568 107.537 0.073 0.045 0.069 0.025 0.0027 0.0024 0.0023 0.0023 8.5E-4 0.0015
48.962 107.537 0.072 0.045 0.068 0.023 0.0025 0.0028 0.0021 0.0023 4.4E-4 0.0013
50.397 107.534 0.067 0.053 0.064 0.019 0.0023 0.0027 0.0016 0.0025 5.5E-4 8.4E-4
51.874 107.533 0.060 0.053 0.058 0.017 0.0024 0.0017 0.0013 0.0025 7.3E-4 5.4E-4
53.394 107.532 0.054 0.015 0.050 0.018 0.0023 0.0012 0.0014 0.0021 0.0012 5.1E-4
54.958 107.530 0.045 0.015 0.042 0.018 0.0023 0.0015 0.0021 0.0017 0.0016 4.1E-4
56.569 107.527 0.037 0.0033 0.033 0.016 0.0022 0.0018 0.0030 0.0016 0.0014 4.6E-4
58.226 107.525 0.028 0.0048 0.025 0.013 0.0016 0.0014 0.0030 0.0017 0.0014 8.0E-4
59.932 107.523 0.021 0.0048 0.018 0.011 0.0022 9.2E-4 0.0023 0.0015 0.0015 0.0010
61.688 107.521 0.015 0.0041 0.011 0.0091 0.0032 8.0E-4 0.0017 0.0015 0.0011 0.0011
63.496 107.519 0.011 0.0036 0.0072 0.0082 0.0023 9.2E-4 0.0016 0.0015 7.7E-4 9.4E-4
65.357 107.518 0.010 0.0036 0.0053 0.0082 0.0014 6.4E-4 0.0019 0.0012 5.1E-4 6.6E-4
67.272 107.517 0.011 0.0034 0.0065 0.0079 0.0017 6.4E-4 0.0016 9.9E-4 9.2E-4 8.2E-4
69.243 107.516 0.012 0.0047 0.0091 0.0063 0.0021 0.0021 0.0015 9.2E-4 0.0012 6.5E-4
71.272 107.515 0.014 0.0047 0.012 0.0057 0.0022 0.0015 0.0020 0.0011 0.0017 9.9E-4
73.360 107.514 0.016 0.0023 0.015 0.0056 0.0022 4.5E-4 0.0024 0.0014 0.0019 0.0014
75.510 107.514 0.020 0.0036 0.019 0.0049 0.0024 7.9E-4 0.0020 0.0011 0.0015 0.0016
77.723 107.513 0.020 0.0036 0.019 0.0037 0.0017 7.4E-4 0.0012 0.0021 0.0015 0.0019
80.000 107.513 0.020 0.0026 0.019 0.0033 0.0014 7.0E-4 0.0014 0.0017 0.0013 0.0019
82.344 107.512 0.022 0.0029 0.021 0.0024 0.0021 9.2E-4 0.0014 0.0011 0.0019 0.0020
84.757 107.512 0.023 0.0029 0.023 0.0029 0.0016 0.0014 0.0013 0.0014 0.0018 0.0022
87.241 107.511 0.024 0.0039 0.024 0.0031 0.0027 0.0012 0.0013 0.0014 0.0016 0.0014
89.797 107.511 0.028 0.0025 0.027 0.0027 0.0023 0.0010 0.0022 0.0025 0.0020 0.0010
92.428 107.510 0.029 0.0023 0.029 0.0024 0.0016 0.0012 0.0022 0.0032 0.0012 0.0013
95.137 107.510 0.031 0.0039 0.031 0.0028 0.0018 0.0011 0.0018 0.0021 9.8E-4 0.0016
97.924 107.509 0.032 0.0056 0.032 0.0037 0.0018 0.0015 0.0011 0.0022 0.0022 0.0014
100.794 107.509 0.034 0.0091 0.034 0.0035 0.0017 0.0016 6.2E-4 0.0018 0.0028 0.0017
103.747 107.509 0.035 0.0018 0.034 0.0031 0.0019 0.0016 7.7E-4 0.0017 0.0024 0.0013
106.787 107.508 0.035 0.0021 0.035 0.0027 0.0016 0.0015 0.0014 0.0016 0.0020 0.0014
109.916 107.508 0.036 0.0024 0.036 0.0023 0.0016 9.6E-4 0.0022 0.0012 0.0013 0.0013
113.137 107.507 0.038 0.0028 0.037 0.0036 9.5E-4 7.7E-4 0.0021 0.0013 0.0011 0.0012
116.452 107.507 0.039 0.0041 0.039 0.0050 0.0017 8.1E-4 0.0019 0.0014 0.0010 8.6E-4
119.865 107.507 0.040 0.0017 0.040 0.0024 0.0018 8.8E-4 0.0013 0.0013 0.0012 4.5E-4
123.377 107.507 0.040 0.0039 0.040 0.0024 0.0017 0.0012 0.0011 0.0016 7.7E-4 3.7E-4
126.992 107.507 0.042 0.0046 0.042 0.0015 0.0014 1.0E-3 0.0012 0.0020 7.0E-4 5.3E-4
130.713 107.507 0.042 0.0029 0.042 0.0014 0.0021 0.0016 0.0016 0.0023 6.9E-4 5.3E-4
134.543 107.507 0.042 0.0043 0.042 0.0011 0.0029 0.0015 0.0016 0.0022 6.4E-4 0.0010
138.486 107.507 0.044 0.0039 0.044 0.0014 0.0023 0.0018 0.0020 0.0019 0.0016 0.0015
142.544 107.507 0.044 0.0027 0.044 0.0017 0.0016 0.0010 0.0017 0.0023 0.0015 0.0015
146.721 107.507 0.043 0.010 0.043 0.0022 8.4E-4 6.0E-4 0.0012 0.0018 9.2E-4 7.4E-4
151.020 107.507 0.042 0.016 0.042 0.0012 9.3E-4 0.0011 9.6E-4 0.0019 0.0011 0.0010
155.445 107.508 0.044 0.0031 0.044 0.0012 0.0022 0.0011 0.0015 0.0021 0.0012 0.0011
160.000 107.508 0.044 0.0034 0.043 0.0023 0.0025 0.0016 0.0014 0.0018 0.0012 0.0012
164.688 107.508 0.044 0.0023 0.044 0.0019 0.0024 0.0021 0.0015 0.0014 0.0016 0.0022
169.514 107.508 0.046 0.0026 0.046 0.0025 0.0022 0.0017 0.0019 0.0012 0.0011 0.0021
174.481 107.509 0.049 0.0030 0.049 0.0027 0.0023 0.0011 0.0017 0.0015 0.0014 0.0022
179.594 107.509 0.048 0.0019 0.048 0.0041 0.0031 0.0018 0.0017 0.0018 0.0015 0.0016
184.856 107.509 0.046 0.0034 0.046 0.0037 0.0022 0.0019 0.0013 0.0012 0.0017 0.0015
190.273 107.510 0.046 0.0029 0.045 0.0025 0.0015 0.0021 0.0019 0.0017 0.0011 0.0014
195.849 107.510 0.047 0.0053 0.047 0.0015 7.7E-4 0.0014 0.0015 0.0018 0.0011 0.0020
201.587 107.510 0.046 0.0056 0.046 0.0012 0.0013 0.0015 0.0025 0.0023 0.0018 0.0018
207.494 107.510 0.046 0.0037 0.046 0.0012 9.4E-4 0.0017 0.0038 0.0020 0.0020 0.0021
213.574 107.510 0.046 0.0052 0.046 0.0013 0.0016 0.0015 0.0031 0.0015 0.0017 0.0018
219.833 107.510 0.045 0.0048 0.045 0.0013 0.0018 0.0011 0.0022 0.0013 0.0020 9.6E-4
226.274 107.510 0.045 0.0019 0.045 0.0023 0.0022 9.7E-4 0.0021 0.0011 0.0019 0.0012
232.905 107.510 0.046 0.0050 0.045 0.0017 0.0026 9.3E-4 0.0014 0.0011 0.0018 0.0012
239.729 107.509 0.046 0.0037 0.046 0.0026 0.0024 9.4E-4 0.0019 0.0018 0.0013 0.0016
246.754 107.508 0.047 0.0077 0.047 0.0016 0.0020 0.0016 0.0023 0.0023 0.0019 0.0016
253.984 107.508 0.049 0.0083 0.048 0.0024 0.0016 0.0019 0.0022 0.0028 0.0014 0.0016
261.426 107.507 0.049 0.0038 0.049 0.0031 0.0017 0.0015 0.0025 0.0032 0.0020 0.0012
269.087 107.506 0.049 0.0061 0.049 0.0033 0.0019 0.0024 0.0023 0.0023 0.0017 0.0015
276.972 107.505 0.050 0.0049 0.050 0.0030 0.0023 0.0030 0.0024 0.0027 0.0018 0.0019
285.088 107.504 0.050 0.0069 0.049 0.0037 0.0021 0.0031 0.0023 0.0023 0.0012 0.0021
293.441 107.503 0.050 0.0042 0.050 0.0030 0.0016 0.0030 0.0016 0.0015 0.0016 0.0019
302.040 107.502 0.051 0.0026 0.051 0.0029 0.0020 0.0027 0.0010 0.0014 0.0015 0.0028
310.890 107.501 0.051 0.0032 0.051 0.0025 0.0024 0.0021 0.0014 0.0015 0.0017 0.0026
320.000 107.500 0.051 0.0045 0.050 0.0031 0.0021 0.0016 0.0021 0.0015 0.0023 0.0020
329.377 107.500 0.051 0.0041 0.050 0.0031 0.0030 0.0021 0.0019 0.0024 0.0022 0.0025
339.028 107.500 0.051 0.0040 0.051 0.0032 0.0025 0.0023 0.0024 0.0017 0.0024 0.0026
348.962 107.500 0.051 0.021 0.050 0.0031 0.0035 0.0017 0.0034 0.0013 0.0017 0.0017
359.188 107.500 0.050 0.0035 0.049 0.0033 0.0026 0.0022 0.0031 0.0017 0.0017 0.0019
369.713 107.501 0.051 0.0067 0.051 0.0031 0.0023 0.0020 0.0039 0.0021 0.0020 0.0022
380.546 107.502 0.052 0.0031 0.051 0.0038 0.0024 0.0017 0.0024 0.0031 0.0022 0.0023
391.697 107.503 0.051 0.0049 0.051 0.0028 0.0025 0.0021 0.0026 0.0029 0.0020 0.0021
403.175 107.505 0.051 0.0056 0.051 0.0027 0.0033 0.0025 0.0027 0.0030 0.0022 0.0024
414.989 107.507 0.051 0.0044 0.051 0.0034 0.0028 0.0027 0.0025 0.0027 0.0023 0.0025
427.149 107.508 0.052 0.0035 0.051 0.0024 0.0033 0.0023 0.0034 0.0028 0.0021 0.0015
439.665 107.509 0.051 0.0039 0.051 0.0026 0.0022 0.0028 0.0026 0.0030 0.0027 0.0022
452.548 107.510 0.050 0.0051 0.050 0.0026 0.0027 0.0028 0.0027 0.0031 0.0014 0.0019
465.809 107.510 0.051 0.0042 0.050 0.0025 0.0025 0.0029 0.0029 0.0032 0.0022 0.0022
479.458 107.509 0.050 0.0049 0.050 0.0031 0.0021 0.0030 0.0029 0.0025 0.0019 0.0023
493.507 107.508 0.051 0.0042 0.050 0.0029 0.0022 0.0032 0.0034 0.0016 0.0019 0.0023
507.968 107.507 0.052 0.0063 0.051 0.0028 0.0028 0.0030 0.0025 0.0022 0.0026 0.0016
522.853 107.505 0.053 0.0071 0.053 0.0031 0.0036 0.0023 0.0023 0.0025 0.0027 0.0018
538.174 107.504 0.054 0.011 0.053 0.0026 0.0025 0.0034 0.0025 0.0020 0.0029 0.0023
553.943 107.502 0.054 0.0034 0.053 0.0031 0.0020 0.0032 0.0031 0.0027 0.0020 0.0020
570.175 107.501 0.054 0.0057 0.054 0.0026 0.0030 0.0028 0.0034 0.0027 0.0021 0.0026
586.883 107.500 0.054 0.0036 0.053 0.0026 0.0024 0.0028 0.0031 0.0028 0.0019 0.0024
604.080 107.500 0.053 0.0069 0.053 0.0028 0.0024 0.0025 0.0028 0.0030 0.0020 0.0024
621.780 107.500 0.052 0.0033 0.052 0.0033 0.0027 0.0020 0.0030 0.0034 0.0025 0.0023
640.000 107.500 0.052 0.0036 0.052 0.0029 0.0024 0.0025 0.0031 0.0029 0.0031 0.0021
658.753 107.499 0.052 0.0034 0.051 0.0023 0.0036 0.0026 0.0028 0.0025 0.0025 0.0020
678.056 107.497 0.051 0.0095 0.051 0.0032 0.0028 0.0026 0.0025 0.0026 0.0023 0.0024
697.925 107.494 0.052 0.0072 0.052 0.0035 0.0033 0.0025 0.0036 0.0035 0.0030 0.0024
718.376 107.490 0.053 0.0039 0.052 0.0036 0.0024 0.0028 0.0035 0.0034 0.0027 0.0025
739.426 107.486 0.053 0.0054 0.053 0.0037 0.0035 0.0026 0.0024 0.0028 0.0030 0.0025
761.093 107.482 0.054 0.0056 0.054 0.0034 0.0034 0.0031 0.0026 0.0026 0.0026 0.0034
783.394 107.480 0.054 0.0063 0.053 0.0029 0.0036 0.0039 0.0032 0.0039 0.0027 0.0030
806.349 107.480 0.052 0.0064 0.052 0.0028 0.0032 0.0044 0.0031 0.0029 0.0029 0.0035
829.977 107.483 0.052 0.0073 0.051 0.0034 0.0027 0.0033 0.0027 0.0035 0.0032 0.0029
854.297 107.486 0.051 0.0066 0.051 0.0039 0.0031 0.0038 0.0030 0.0029 0.0037 0.0032
879.330 107.490 0.050 0.0080 0.049 0.0035 0.0029 0.0029 0.0039 0.0026 0.0029 0.0025
905.097 107.493 0.051 0.0077 0.051 0.0045 0.0029 0.0030 0.0027 0.0030 0.0027 0.0024
931.618 107.494 0.053 0.0068 0.052 0.0044 0.0033 0.0032 0.0032 0.0032 0.0033 0.0031
958.917 107.493 0.054 0.0062 0.053 0.0042 0.0037 0.0038 0.0032 0.0032 0.0040 0.0034
987.015 107.491 0.057 0.0050 0.056 0.0046 0.0036 0.0045 0.0037 0.0028 0.0037 0.0042
1015.937 107.488 0.055 0.0063 0.054 0.0042 0.0030 0.0041 0.0039 0.0027 0.0036 0.0029
1045.706 107.487 0.054 0.0081 0.053 0.0041 0.0033 0.0041 0.0030 0.0028 0.0039 0.0029
1076.347 107.485 0.053 0.0085 0.052 0.0038 0.0038 0.0047 0.0033 0.0032 0.0039 0.0035
1107.887 107.483 0.051 0.0059 0.050 0.0038 0.0037 0.0043 0.0035 0.0038 0.0034 0.0035
1140.350 107.478 0.050 0.0068 0.049 0.0042 0.0041 0.0034 0.0037 0.0037 0.0030 0.0033
1173.765 107.471 0.052 0.0058 0.051 0.0042 0.0039 0.0031 0.0040 0.0026 0.0035 0.0038
1208.159 107.464 0.054 0.0079 0.053 0.0048 0.0036 0.0033 0.0037 0.0031 0.0046 0.0032
1243.561 107.462 0.053 0.0060 0.052 0.0047 0.0040 0.0033 0.0031 0.0030 0.0045 0.0039
1280.000 107.464 0.052 0.0074 0.051 0.0040 0.0051 0.0035 0.0040 0.0035 0.0041 0.0036
1317.507 107.471 0.050 0.011 0.049 0.0035 0.0041 0.0037 0.0041 0.0035 0.0038 0.0037
1356.113 107.478 0.048 0.0063 0.047 0.0038 0.0030 0.0044 0.0041 0.0040 0.0038 0.0039
1395.850 107.480 0.051 0.0082 0.049 0.0048 0.0035 0.0044 0.0042 0.0041 0.0037 0.0036
1436.751 107.480 0.052 0.0094 0.051 0.0056 0.0046 0.0036 0.0046 0.0040 0.0039 0.0034
1478.851 107.477 0.051 0.0059 0.050 0.0048 0.0050 0.0036 0.0041 0.0036 0.0036 0.0041
1522.185 107.474 0.049 0.0081 0.047 0.0046 0.0045 0.0036 0.0055 0.0037 0.0042 0.0043
1566.789 107.468 0.046 0.0086 0.044 0.0045 0.0047 0.0035 0.0049 0.0036 0.0034 0.0048
1612.699 107.458 0.046 0.0083 0.044 0.0051 0.0043 0.0034 0.0050 0.0043 0.0037 0.0044
1659.955 107.449 0.048 0.0094 0.046 0.0043 0.0039 0.0051 0.0038 0.0047 0.0041 0.0044
1708.595 107.446 0.047 0.0094 0.046 0.0044 0.0039 0.0040 0.0043 0.0039 0.0037 0.0041
1758.661 107.453 0.044 0.012 0.042 0.0058 0.0041 0.0043 0.0045 0.0033 0.0037 0.0042
1810.193 107.463 0.042 0.0096 0.041 0.0057 0.0043 0.0046 0.0038 0.0049 0.0042 0.0040
1863.236 107.467 0.043 0.0089 0.041 0.0048 0.0045 0.0050 0.0042 0.0053 0.0049 0.0043
1917.833 107.465 0.045 0.0096 0.043 0.0046 0.0050 0.0048 0.0038 0.0047 0.0058 0.0049
1974.030 107.460 0.042 0.0086 0.040 0.0047 0.0054 0.0056 0.0046 0.0049 0.0053 0.0041
2031.873 107.449 0.037 0.0095 0.035 0.0053 0.0059 0.0046 0.0049 0.0053 0.0054 0.0042
2091.412 107.434 0.038 0.010 0.035 0.0054 0.0055 0.0049 0.0058 0.0062 0.0046 0.0044
2152.695 107.426 0.038 0.012 0.036 0.0058 0.0054 0.0050 0.0052 0.0058 0.0044 0.0036
2215.774 107.433 0.035 0.010 0.032 0.0062 0.0049 0.0058 0.0044 0.0053 0.0045 0.0031
2280.701 107.446 0.032 0.011 0.029 0.0060 0.0055 0.0063 0.0046 0.0056 0.0038 0.0021
