* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:56:59 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: Voxbox 55
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
20.000 102.920 2.09 0.0016 2.02 0.422 0.294 0.078 0.062 0.096 0.011 0.041
20.586 102.832 1.91 0.0014 1.87 0.280 0.235 0.061 0.045 0.063 0.0065 0.026
21.189 102.755 1.67 0.0014 1.65 0.170 0.180 0.050 0.031 0.038 0.0046 0.015
21.810 102.690 1.43 0.0014 1.42 0.094 0.131 0.044 0.021 0.019 0.0039 0.0079
22.449 102.637 1.20 0.0014 1.19 0.048 0.090 0.041 0.013 0.0076 0.0044 0.0039
23.107 102.597 0.985 0.0019 0.982 0.023 0.060 0.040 0.0083 0.0042 0.0051 0.0039
23.784 102.571 0.793 0.0019 0.791 0.023 0.037 0.039 0.0082 0.0055 0.0060 0.0072
24.481 102.556 0.632 0.0019 0.629 0.035 0.030 0.037 0.011 0.0095 0.0069 0.0098
25.198 102.555 0.500 0.0019 0.495 0.044 0.028 0.035 0.015 0.012 0.0078 0.012
25.937 102.560 0.381 0.0022 0.374 0.049 0.028 0.031 0.016 0.014 0.0076 0.012
26.697 102.571 0.280 0.0022 0.272 0.050 0.030 0.026 0.015 0.014 0.0063 0.012
27.479 102.584 0.219 0.0022 0.210 0.046 0.029 0.021 0.014 0.013 0.0050 0.010
28.284 102.597 0.179 0.0028 0.171 0.039 0.027 0.016 0.011 0.011 0.0038 0.0074
29.113 102.607 0.155 0.0028 0.150 0.029 0.023 0.012 0.0080 0.0080 0.0027 0.0048
29.966 102.613 0.137 0.0028 0.133 0.019 0.017 0.0093 0.0053 0.0054 0.0024 0.0027
30.844 102.616 0.121 0.0028 0.119 0.010 0.012 0.0073 0.0039 0.0036 0.0030 0.0011
31.748 102.616 0.103 0.0028 0.102 0.0077 0.0063 0.0066 0.0032 0.0024 0.0024 0.0011
32.678 102.614 0.085 0.0028 0.084 0.013 0.0043 0.0069 0.0032 0.0021 0.0018 0.0018
33.636 102.612 0.068 0.0028 0.064 0.020 0.0044 0.0073 0.0041 0.0026 0.0013 0.0024
34.621 102.610 0.051 0.0028 0.044 0.024 0.0059 0.0072 0.0045 0.0028 6.5E-4 0.0029
35.636 102.610 0.040 0.0028 0.028 0.026 0.0071 0.0070 0.0041 0.0029 7.7E-4 0.0029
36.680 102.611 0.035 0.0027 0.022 0.025 0.0069 0.0069 0.0038 0.0033 0.0012 0.0029
37.755 102.612 0.035 0.0027 0.027 0.020 0.0053 0.0056 0.0036 0.0029 9.6E-4 0.0034
38.861 102.612 0.038 0.0027 0.034 0.015 0.0049 0.0037 0.0036 0.0023 8.2E-4 0.0036
40.000 102.611 0.041 0.0045 0.039 0.0097 0.0036 0.0024 0.0037 0.0019 0.0011 0.0027
41.172 102.611 0.041 0.0045 0.040 0.0067 0.0023 0.0027 0.0038 0.0023 8.8E-4 0.0019
42.379 102.611 0.038 0.0040 0.037 0.0072 0.0016 0.0036 0.0034 0.0022 0.0012 0.0017
43.620 102.612 0.033 0.0040 0.031 0.0094 0.0019 0.0037 0.0025 0.0018 0.0023 0.0019
44.898 102.612 0.028 0.0089 0.025 0.011 0.0027 0.0034 0.0017 0.0015 0.0024 0.0019
46.214 102.611 0.025 0.0089 0.022 0.011 0.0025 0.0026 0.0015 0.0016 0.0016 0.0014
47.568 102.611 0.025 0.048 0.023 0.0089 0.0024 0.0018 0.0015 0.0015 9.5E-4 7.0E-4
48.962 102.610 0.027 0.048 0.026 0.0053 0.0028 0.0026 0.0016 0.0024 6.8E-4 4.4E-4
50.397 102.608 0.029 0.054 0.028 0.0034 0.0025 0.0032 0.0017 0.0032 7.5E-4 5.5E-4
51.874 102.610 0.027 0.054 0.027 0.0029 0.0017 0.0028 0.0014 0.0026 0.0011 9.1E-4
53.394 102.611 0.024 0.014 0.023 0.0041 0.0012 0.0029 0.0013 0.0019 0.0012 0.0016
54.958 102.612 0.021 0.014 0.020 0.0054 8.1E-4 0.0024 0.0017 0.0013 0.0011 0.0014
56.569 102.612 0.021 0.0060 0.019 0.0064 0.0014 0.0016 0.0021 0.0014 8.9E-4 8.8E-4
58.226 102.612 0.021 0.0038 0.020 0.0061 0.0017 0.0012 0.0022 0.0018 8.9E-4 8.5E-4
59.932 102.612 0.022 0.0038 0.021 0.0052 0.0015 0.0014 0.0017 0.0018 0.0011 0.0014
61.688 102.612 0.023 0.0047 0.022 0.0046 0.0021 0.0012 0.0012 0.0017 0.0013 0.0023
63.496 102.611 0.023 0.0041 0.022 0.0057 0.0022 0.0013 9.0E-4 0.0014 0.0011 0.0022
65.357 102.611 0.021 0.0041 0.020 0.0069 0.0015 0.0020 7.5E-4 0.0014 0.0011 0.0013
67.272 102.611 0.020 0.0024 0.019 0.0062 0.0014 0.0027 6.1E-4 0.0015 0.0015 0.0010
69.243 102.611 0.022 0.0031 0.021 0.0044 0.0010 0.0035 7.0E-4 0.0019 0.0016 8.6E-4
71.272 102.611 0.024 0.0031 0.023 0.0033 6.0E-4 0.0027 7.4E-4 0.0018 0.0017 0.0010
73.360 102.610 0.024 0.0028 0.024 0.0036 9.6E-4 0.0022 0.0010 0.0014 0.0011 0.0013
75.510 102.610 0.023 0.0027 0.022 0.0045 8.8E-4 0.0016 0.0013 0.0018 9.3E-4 0.0010
77.723 102.610 0.021 0.0035 0.021 0.0044 9.3E-4 0.0013 0.0013 0.0018 0.0013 6.5E-4
80.000 102.610 0.022 0.0031 0.022 0.0043 0.0013 0.0015 1.0E-3 0.0018 8.9E-4 7.6E-4
82.344 102.610 0.022 0.0020 0.021 0.0053 0.0014 0.0014 0.0012 0.0021 7.4E-4 0.0014
84.757 102.609 0.020 0.0020 0.020 0.0036 0.0016 0.0013 0.0016 0.0021 8.3E-4 0.0020
87.241 102.609 0.020 0.0027 0.019 0.0027 0.0025 8.3E-4 0.0020 0.0015 9.2E-4 0.0017
89.797 102.609 0.021 0.0037 0.020 0.0022 0.0019 9.5E-4 0.0015 8.9E-4 9.1E-4 0.0013
92.428 102.609 0.021 0.0033 0.020 0.0019 0.0014 4.5E-4 0.0013 0.0010 0.0014 0.0012
95.137 102.609 0.021 0.0026 0.020 0.0023 9.4E-4 7.9E-4 0.0013 0.0012 0.0018 0.0015
97.924 102.609 0.020 0.0056 0.020 0.0021 0.0017 0.0014 0.0012 0.0018 0.0011 0.0021
100.794 102.609 0.021 0.0095 0.020 9.9E-4 0.0020 0.0019 0.0011 0.0021 7.1E-4 0.0023
103.747 102.609 0.022 0.0048 0.022 0.0015 0.0014 0.0011 0.0011 0.0022 0.0012 0.0022
106.787 102.609 0.021 0.0046 0.021 0.0018 9.0E-4 0.0014 0.0016 0.0018 0.0016 0.0020
