* Distortion data saved by REW V5.20.13
* Dated: Oct 16, 2023 6:53:50 AM
* Source: Universal Audio Thunderbolt, Universal Audio Thunderbolt, 1, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Measurement: SSL 40
* Frequency Step: 24 ppo
* Freq (Hz) Fundamental (dB) THD (%) Noise (%) H2 (%) H3 (%) H4 (%) H5 (%) H6 (%) H7 (%) H8 (%) H9 (%)
106.787 111.613 0.114 0.0021 0.0088 0.078 0.067 0.043 0.019 0.0013 0.0092 0.010
109.916 111.613 0.114 0.0021 0.0097 0.078 0.067 0.042 0.019 0.0012 0.0087 0.010
113.137 111.613 0.114 0.0017 0.010 0.077 0.068 0.042 0.018 0.0011 0.0087 0.0094
116.452 111.613 0.114 0.0022 0.011 0.078 0.068 0.042 0.018 9.0E-4 0.0087 0.0089
119.865 111.614 0.115 0.0020 0.011 0.079 0.068 0.042 0.017 7.2E-4 0.0084 0.0089
123.377 111.614 0.116 0.0022 0.013 0.081 0.068 0.042 0.017 0.0012 0.0088 0.0094
126.992 111.614 0.119 0.0017 0.014 0.083 0.069 0.043 0.016 0.0013 0.0091 0.010
130.713 111.614 0.121 0.0020 0.014 0.086 0.069 0.044 0.016 0.0014 0.0089 0.010
134.543 111.615 0.122 0.0027 0.013 0.088 0.068 0.043 0.017 0.0013 0.0089 0.010
138.486 111.616 0.124 0.0027 0.014 0.091 0.067 0.043 0.018 0.0015 0.0097 0.010
142.544 111.616 0.126 0.0020 0.016 0.093 0.069 0.042 0.019 0.0015 0.010 0.0096
146.721 111.617 0.127 0.011 0.015 0.094 0.069 0.041 0.019 0.0015 0.0094 0.010
151.020 111.617 0.127 0.013 0.015 0.095 0.068 0.041 0.020 0.0015 0.0089 0.011
155.445 111.618 0.128 0.0024 0.016 0.096 0.068 0.040 0.020 0.0011 0.0087 0.011
160.000 111.619 0.127 0.0022 0.015 0.095 0.068 0.039 0.019 9.6E-4 0.0087 0.010
164.688 111.620 0.125 0.0027 0.015 0.093 0.069 0.040 0.018 0.0014 0.0081 0.0092
169.514 111.621 0.124 0.0022 0.016 0.091 0.068 0.041 0.017 0.0015 0.0080 0.0090
174.481 111.622 0.124 0.0023 0.017 0.089 0.069 0.043 0.018 0.0014 0.0078 0.0093
179.594 111.623 0.123 0.0026 0.016 0.087 0.069 0.045 0.019 0.0016 0.0085 0.0096
184.856 111.623 0.122 0.0032 0.016 0.085 0.070 0.046 0.020 0.0011 0.0092 0.0091
190.273 111.624 0.122 0.0027 0.014 0.084 0.071 0.045 0.020 6.2E-4 0.0090 0.0094
195.849 111.625 0.121 0.0037 0.013 0.084 0.071 0.044 0.018 5.8E-4 0.0087 0.0098
201.587 111.625 0.121 0.0048 0.012 0.086 0.070 0.044 0.017 0.0011 0.0093 0.0097
207.494 111.626 0.122 0.0039 0.011 0.088 0.069 0.043 0.016 0.0015 0.0096 0.010
213.574 111.626 0.122 0.0013 0.0088 0.089 0.068 0.043 0.017 0.0013 0.0099 0.0098
219.833 111.625 0.122 0.0028 0.0075 0.089 0.068 0.043 0.018 0.0012 0.0089 0.0096
226.274 111.625 0.122 0.0028 0.0077 0.089 0.067 0.042 0.020 0.0014 0.0085 0.010
232.905 111.624 0.121 0.0036 0.0071 0.088 0.068 0.042 0.020 0.0018 0.0073 0.0097
239.729 111.624 0.119 0.0029 0.0073 0.086 0.068 0.040 0.020 0.0015 0.0078 0.0087
246.754 111.623 0.116 0.0086 0.0087 0.081 0.068 0.040 0.018 0.0013 0.0076 0.0094
